landmark_x,landmark_y,screen_x,screen_y
0.5675980448722839,0.6427156329154968,1741,203
0.576508641242981,0.686274528503418,1741,199
0.588118314743042,0.7114374041557312,1741,199
0.5956182479858398,0.7308469414710999,1741,199
0.5946546792984009,0.7272417545318604,1741,199
0.5898402333259583,0.6952385902404785,1741,199
0.5842859745025635,0.6439499855041504,1741,199
0.5817775130271912,0.6383382081985474,1741,199
0.5811513662338257,0.6425027251243591,1741,199
0.5796160697937012,0.6463733315467834,1608,25
